# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan  3 22:48:10 2017
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN alt_name:       Confirmed Name
# COLUMN tm_designation: 2MASS Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN koi_list_flag:  Is in KOI List?
# COLUMN last_update:    Date of Last Update
#
rowid,kepid,kepoi_name,kepler_name,alt_name,tm_designation,ra_str,ra,dec_str,dec,koi_list_flag,last_update
1,11446443,K00001.01,Kepler-1 b,TrES-2 b,2MASS J19071403+4918590,19h07m14.03s,286.808470,+49d18m59.0s,49.316399,YES,2013-03-05 0
2,10666592,K00002.01,Kepler-2 b,HAT-P-7 b,2MASS J19285935+4758102,19h28m59.35s,292.247280,+47d58m10.3s,47.969521,YES,2013-03-05 0
3,10748390,K00003.01,Kepler-3 b,HAT-P-11 b,2MASS J19505021+4804508,19h50m50.24s,297.709350,+48d04m51.1s,48.080853,YES,2013-03-05 0
4,11853905,K00007.01,Kepler-4 b,Kepler-4 b,2MASS J19022767+5008087,19h02m27.68s,285.615330,+50d08m08.7s,50.135750,YES,2013-03-05 0
5,8191672,K00018.01,Kepler-5 b,Kepler-5 b,2MASS J19573768+4402061,19h57m37.68s,299.407010,+44d02m06.2s,44.035053,YES,2013-03-05 0
6,10874614,K00017.01,Kepler-6 b,Kepler-6 b,2MASS J19472094+4814238,19h47m20.94s,296.837250,+48d14m23.8s,48.239944,YES,2013-03-05 0
7,5780885,K00097.01,Kepler-7 b,Kepler-7 b,2MASS J19141956+4105233,19h14m19.56s,288.581510,+41d05m23.3s,41.089809,YES,2013-03-05 0
8,6922244,K00010.01,Kepler-8 b,Kepler-8 b,2MASS J18450914+4227038,18h45m09.15s,281.288120,+42d27m03.9s,42.451080,YES,2013-03-05 0
9,3323887,K00377.01,Kepler-9 b,Kepler-9 b,2MASS J19021775+3824032,19h02m17.75s,285.573970,+38d24m03.2s,38.400902,YES,2013-03-05 0
10,3323887,K00377.02,Kepler-9 c,Kepler-9 c,2MASS J19021775+3824032,19h02m17.75s,285.573970,+38d24m03.2s,38.400902,YES,2013-03-05 0
11,3323887,K00377.03,Kepler-9 d,Kepler-9 d,2MASS J19021775+3824032,19h02m17.75s,285.573970,+38d24m03.2s,38.400902,YES,2013-03-05 0
12,11904151,K00072.01,Kepler-10 b,Kepler-10 b,2MASS J19024305+5014286,19h02m43.05s,285.679380,+50d14m28.7s,50.241299,YES,2013-03-05 0
13,11904151,K00072.02,Kepler-10 c,Kepler-10 c,2MASS J19024305+5014286,19h02m43.05s,285.679380,+50d14m28.7s,50.241299,YES,2013-03-05 0
14,6541920,K00157.06,Kepler-11 b,Kepler-11 b,2MASS J19482762+4154328,19h48m27.63s,297.115110,+41d54m32.9s,41.909142,YES,2013-03-05 0
15,6541920,K00157.01,Kepler-11 c,Kepler-11 c,2MASS J19482762+4154328,19h48m27.63s,297.115110,+41d54m32.9s,41.909142,YES,2013-03-05 0
16,6541920,K00157.02,Kepler-11 d,Kepler-11 d,2MASS J19482762+4154328,19h48m27.63s,297.115110,+41d54m32.9s,41.909142,YES,2013-03-05 0
17,6541920,K00157.03,Kepler-11 e,Kepler-11 e,2MASS J19482762+4154328,19h48m27.63s,297.115110,+41d54m32.9s,41.909142,YES,2013-03-05 0
18,6541920,K00157.04,Kepler-11 f,Kepler-11 f,2MASS J19482762+4154328,19h48m27.63s,297.115110,+41d54m32.9s,41.909142,YES,2013-03-05 0
19,6541920,K00157.05,Kepler-11 g,Kepler-11 g,2MASS J19482762+4154328,19h48m27.63s,297.115110,+41d54m32.9s,41.909142,YES,2013-03-05 0
20,11804465,K00020.01,Kepler-12 b,Kepler-12 b,2MASS J19045842+5002253,19h04m58.43s,286.243440,+50d02m25.4s,50.040379,YES,2013-03-05 0
21,9941662,K00013.01,Kepler-13 b,KOI-13 b,2MASS J19075308+4652061,19h07m53.09s,286.971190,+46d52m06.1s,46.868359,YES,2013-03-05 0
22,10264660,K00098.01,Kepler-14 b,Kepler-14 b,2MASS J19105011+4719589,19h10m50.12s,287.708830,+47d19m59.0s,47.333050,YES,2013-03-05 0
23,11359879,K00128.01,Kepler-15 b,Kepler-15 b,2MASS J19444814+4908244,19h44m48.14s,296.200590,+49d08m24.4s,49.140121,YES,2013-03-05 0
24,12644769,K01611.02,Kepler-16 b,Kepler-16 b,2MASS J19161817+5145267,19h16m18.17s,289.075710,+51d45m26.8s,51.757439,NO,2013-03-05 0
